time,today,yesterday,same_day_last_week,avg_last_week,avg_last_month
00h,9,12,11,6.42,4.85
01h,3,5,1,1.85,1.92
02h,1,0,0,0.28,0.82
03h,1,0,0,0.42,0.46
04h,0,0,1,0.42,0.21
05h,1,1,2,1.28,0.75
06h,1,1,5,2.85,2.28
07h,2,3,9,5.57,5.21
08h,0,1,18,8.71,10.42
09h,2,9,30,20.0,19.07
10h,55,51,45,29.42,28.35
11h,36,44,38,33.71,28.5
12h,51,39,39,27.57,25.42
13h,36,41,43,25.85,24.21
14h,32,35,36,26.14,25.21
15h,51,35,49,28.14,27.71
16h,41,36,48,27.71,25.64
17h,45,30,29,20.42,22.28
18h,32,25,25,21.57,18.28
19h,33,39,42,22.14,18.67
20h,25,24,34,17.42,18.92
21h,30,35,34,18.71,17.57
22h,28,29,23,15.42,15.64
23h,11,28,10,9.57,8.75
